Run ID,Scenario ID,Area,Screen,Device,Build,Preconditions,Steps,Expected Result,Result,Evidence,Notes,Follow-up
2026-05-25-qa-start,LOG-001,Runtime logs,Focused logcat,emulator-5554,debug APK,"App launched after smoke pass","Scan logcat for fatal RN storage icon bundle errors","No matching fatal/error patterns",Pass,screenshots/onewallet-implementation-start.png,"No matching fatal React Native invalid-icon storage or bundle errors; UI dump at screenshots/window-implementation-start.xml",
2026-05-25-launch,LAUNCH-001,Launch,Cold start animation,emulator-5554,debug APK,"App force-stopped","Open launcher activity and capture native splash, debug bundle load, React launch scene, and settled Home","Native splash hands off to premium themed wallet loading surface without blank flash",Pass,screenshots/onewallet-modal-fast-0.png; screenshots/onewallet-modal-fast-10.png; screenshots/onewallet-modal-fast-28.png; screenshots/onewallet-modal-after-handoff.png,"Dark native mark appears first; debug Metro banner is visible only in dev; React modal shows full themed bands/ledger art before dismissing to Home",
2026-05-25-launch,LAUNCH-002,Launch,Loading stages,emulator-5554,debug APK,"Auth and ledger restore paths available","Observe Session Wallet Ready stage rail during startup","Stage chips, title, message, and progress rail fit and animate smoothly",Pass,screenshots/onewallet-modal-fast-28.png; screenshots/onewallet-modal-fast-35.png,"1wallet title, Opening your wallet message, Session/Wallet/Ready chips, and progress rail fit on emulator",
2026-05-25-launch,LAUNCH-003,Launch,Smooth handoff,emulator-5554,debug APK,"React launch modal visible over mounted app shell","Wait past opening hold and capture settled screen","The premium launch scene fades away to Home with no dark blank frame",Pass,screenshots/onewallet-modal-launch-2.png; screenshots/onewallet-modal-after-handoff.png,"Navigation mounts behind native modal; modal opacity fade completes and Home is visible after handoff",
2026-05-25-launch,LAUNCH-004,Launch,Runtime logs,emulator-5554,debug APK,"Launch smoke complete","Scan logcat for React splash icon storage bundle errors","No matching fatal/error patterns",Pass,screenshots/onewallet-modal-fast-28.png; screenshots/onewallet-modal-after-handoff.png,"Filtered cold startup log scan returned no matching fatal React Native icon storage or bundle errors",
2026-05-28-auto-capture-harden,SMS-HARDEN-001,Auto Capture,Parser fixtures,local,workspace,"Ledger parser tests updated","Run pnpm --filter @1wallet/ledger test","Indian/UK amount parsing, account last-4 routing, generic food fallback, duplicate capture, OTP filtering pass",Pass,"pnpm --filter @1wallet/ledger test","message parser fixtures passed; loan EMI fixtures passed",
2026-05-28-auto-capture-harden,SMS-HARDEN-002,Auto Capture,Release smoke,Pixel_6_Pro,release APK,"Fresh release installed on phone","Cold launch app and open oneWallet://auto-capture","Release opens without crash and Auto Capture route renders",Partial,"adb install success; am start Status ok; UI labels Auto Capture/Capture settings/SMS capture visible","ADB wireless dropped before current-SMS scan and final permission prompt check; user chose to stop because release was already installed",Reconnect ADB for current-SMS redacted scan and permission revoke/prompt pass
2026-05-29-clean-emulator,SMS-EMU-001,Auto Capture,Background and inbox SMS,emulator-5554,release APK,"Clean cache/no-cache x86_64 release installed; local signup/onboarding complete","Route smoke 19 routes; grant SMS; send emulator SMS; scan inbox; create last-4 account","Routes pass, SMS permission granted, background and manual captures queue or post without critical logs",Pass,"pnpm typecheck/test/lint/build; Gradle assembleRelease; route smoke 19/19; logcat critical sweep clean","Background SMS showed in Review after resume refresh; manual scan reported 0 posted, 3 queued, 7 duplicates, 0 ignored; last-4 SMS auto-posted INR 111.22 to the matched HDFC account",
2026-05-29-stack-upgrade,STACK-001,Stack,Workspace validation,local,Expo 56 RN 0.85 release,"Upgraded package and Android native config applied","Run focused and root typecheck/test/lint/build plus Expo dependency check and git diff whitespace check","All static validation passes on upgraded stack",Pass,"pnpm --filter @1wallet/mobile typecheck; pnpm --filter @1wallet/web typecheck; pnpm --filter @1wallet/state typecheck; pnpm --filter @1wallet/ledger test; pnpm typecheck; pnpm test; pnpm lint; pnpm build; git diff --check","pnpm lint passed with existing warnings only; Expo dependency check reported dependencies up to date",
2026-05-29-stack-upgrade,ANDROID-REL-001,Android release,Emulator x86_64,emulator-5554,release APK,"Java 25.0.3; Gradle 9.3.1; compile/target SDK 36; New Architecture enabled","Build x86_64 release from C:\\w with NODE_OPTIONS preserve-symlinks and JAVA_TOOL_OPTIONS native access; install to emulator; inspect package","Release APK builds, installs, declares SMS permissions, targets SDK 36, and is non-debuggable",Pass,"apps/mobile/android/app/build/outputs/apk/release/app-release.apk; adb install success; dumpsys package; run-as check","APK length 64077933 before phone arm64 rebuild; emulator package versionCode 1 versionName 0.0.1 minSdk 24 targetSdk 36; run-as returned package not debuggable",
2026-05-29-stack-upgrade,NAV-REL-001,Navigation,Deep link route smoke,emulator-5554,release APK,"x86_64 release installed and app data restored","Open Home Transactions Calendar Planner Accounts Add Review Imports Auto Capture Currencies Categories Cards Loans Recurring Rules Notifications Settings via deep link and dump UI XML","Every route starts with Status ok, expected text renders, and focused crash scan is clean",Pass,"screenshots/stack-upgrade-route-home.xml; screenshots/stack-upgrade-route-transactions.xml; screenshots/stack-upgrade-route-auto_capture.xml; screenshots/stack-upgrade-route-settings.xml","17/17 route text matches; LOG_MATCHES none after excluding earlier uiautomator RuntimeInit noise",
2026-05-29-stack-upgrade,SMS-REL-001,Auto Capture,Background inbound SMS,emulator-5554,release APK,"Auto Capture, SMS capture, and Background monitoring enabled; READ_SMS and RECEIVE_SMS granted","Send unique debit SMS while app is backgrounded; open Review and Transactions","Transaction-like SMS is captured locally and appears in Review without auto-posting uncertain account match",Pass,"screenshots/stack-upgrade-sms-review.xml; screenshots/stack-upgrade-sms-transactions.xml","Unique token QAUPGRADEMARKET529 appeared once in Review with amount 143.21; Transactions did not contain token; no app crash logs",
2026-05-29-stack-upgrade,SMS-REL-002,Auto Capture,Duplicate and ignore filters,emulator-5554,release APK,"Initial background SMS already captured","Send duplicate debit SMS plus OTP-only and balance-only SMS; inspect Review and Transactions","Duplicate is suppressed; OTP and balance messages are ignored",Pass,"screenshots/stack-upgrade-sms-check-review.xml; screenshots/stack-upgrade-sms-check-transactions.xml","Review token count stayed 1; OTP token QAUPGRADEOTP529 and balance token QAUPGRADEBAL529 absent from Review and Transactions",
2026-05-29-stack-upgrade,SMS-REL-003,Auto Capture,Manual SMS inbox scan,emulator-5554,release APK,"Recent emulator inbox contains captured duplicate, OTP, and balance-only messages","Open Auto Capture, tap Scan SMS inbox, inspect completion dialog","Manual scan reads locally, never shows full inbox, and reports duplicates/ignored messages without adding extra records",Pass,"screenshots/stack-upgrade-auto-scan-visible.xml; screenshots/stack-upgrade-after-inbox-scan2.xml","Dialog reported SMS scan complete: 0 posted, 0 queued, 13 duplicates, 2 ignored; focused log scan had no app crash signatures",
2026-05-29-stack-upgrade,PHONE-REL-001,Android release,Pixel 6 Pro,release APK,"Pixel 6 Pro reachable over ADB at 192.168.1.125:39999","Build arm64 release, install with adb install -r --no-streaming, verify package metadata, run-as, cold launch, UI XML, and focused logcat","Fresh upgraded release is installed on phone, non-debuggable, starts cold, and shows Home without crash",Pass,"screenshots/stack-upgrade-phone-release.xml; C:\\w\\apps\\mobile\\android\\app\\build\\outputs\\apk\\release\\app-release.apk","Phone arm64 APK length 63092183; install Success; versionName 0.0.1 targetSdk 36 minSdk 24; run-as returned package not debuggable; cold launch Status ok TotalTime 472ms; focused log scan none",
2026-05-29-account-grid-fix,HOME-ACC-001,Home widgets,Account grid selection,emulator-5554,release APK,"Fresh x86_64 release installed after account tile render fix","Select Main account, switch to HDFC, unselect HDFC, then rapid-repeat account taps 10 times while capturing screenshots and UI XML","Account tiles stay readable, unselect returns All accounts, rapid taps do not leave blank tile text, noisy ripple, or crash logs",Pass,"screenshots/account-grid-final-00-before.png; screenshots/account-grid-final-01-select-main.png; screenshots/account-grid-final-02-select-hdfc.png; screenshots/account-grid-final-03-unselect-hdfc.png; screenshots/account-grid-final-04-rapid-repeat.png","Pre-fix visual QA reproduced blue blank account tiles in screenshots/account-grid-03-unselect-hdfc.png. Final fix uses memoized tile models plus Pressable/no ripple and computed dimmed background. Final XML retained Main/HDFC labels and LOG_MATCHES none",
2026-05-29-account-grid-fix,ADD-PICKER-001,Add Record,Selected account and account picker,emulator-5554,release APK,"Home account grid has selected Main account","Tap Home FAB, verify Add opens with selected account, then open account picker","Selected account is prefilled and full-screen account picker renders rows/search/checkmark without clipping",Pass,"screenshots/add-selected-account.png; screenshots/add-account-picker.png; screenshots/add-selected-account.xml; screenshots/add-account-picker.xml","Add showed Main account and balance. Picker displayed Choose account, Search accounts, Main account checked, and HDFC row readable",
2026-05-29-account-grid-fix,NAV-VISUAL-001,Navigation,Focused visual route sweep,emulator-5554,release APK,"Account grid fix release installed","Open Home Transactions Calendar Planner Accounts Review Auto Capture Settings via deep links and dump UI XML","Critical routes render expected text and show no undefined/NaN/crash text or focused crash logs",Pass,"screenshots/visual-route-home.xml; screenshots/visual-route-transactions.xml; screenshots/visual-route-auto_capture.xml; screenshots/visual-route-settings.xml","8/8 focused routes matched expected UI text; LOG_MATCHES none",
2026-05-29-note-autocomplete,NOTE-001,Add Record,Historical note suggestions,emulator-5554,release APK,"Fresh x86_64 release installed with prior transaction notes","Open Add Details, type SWIGGY in Notes, tap the inline suggestion","Notes field suggests matching past transaction notes while typing and tapping a suggestion fills the note",Pass,"screenshots/add-note-query.png; screenshots/window-add-note-query.xml; screenshots/add-note-selected.png; screenshots/window-add-note-selected.xml","Suggestion came from prior HDFC SWIGGY transaction note and selected into the Notes field",
2026-05-29-receipt-entry,RECEIPT-001,Add Record,Receipt Scan Photo File,emulator-5554,release APK,"Fresh x86_64 release installed; Add Details receipt actions visible","Tap File, Photo, and Scan; grant one-time camera permission; capture and accept a camera image; check focused app logs","File opens Android DocumentsUI, Photo opens Android limited photo picker, Scan opens camera permission/Camera2 capture and returns to 1wallet without crash",Pass,"screenshots/file-picker.png; screenshots/window-file-picker.xml; screenshots/photo-picker.png; screenshots/window-photo-picker.xml; screenshots/scan-camera-2.png; screenshots/window-scan-camera-2.xml; screenshots/scan-camera-open.png; screenshots/window-scan-camera-open.xml; screenshots/scan-after-shutter.png; screenshots/window-scan-after-shutter.xml; screenshots/scan-return.png; screenshots/window-scan-return.xml","File picker showed Recent/Images/Documents/Large files; Photo picker showed selected-photos-only privacy copy; Scan reached Retake/Done/Cancel, accepted image, and app-specific log scan had no ReactNativeJS fatal or receipt/OCR exception",
2026-05-29-account-reorder,ACC-REORDER-001,Accounts,Account row reorder,emulator-5554,release APK,"Fresh x86_64 release installed after reorder settle fix","Drag the first account below the second on the Accounts tab; capture immediate 0ms/150ms/400ms/900ms post-release frames; check focused app logs","Dragged row lands in the selected slot with stable spacing and no multi-second wrong gap or crash",Pass,"screenshots/accounts-reorder-final-0.png; screenshots/accounts-reorder-final-150.png; screenshots/accounts-reorder-final-400.png; screenshots/accounts-reorder-final-900.png","Pre-fix visual QA showed a visible 200ms post-release gap/frame mismatch. Final fix uses measured per-cell spacing, fixed row/placeholder height, tighter overshoot-clamped spring, constrained drag bounds, and direct sortOrder persistence. Focused log scan had no fatal ReactNativeJS or AndroidRuntime errors",
2026-05-29-calendar-grid,CAL-GRID-001,Calendar,Month grid,emulator-5554,release APK,"Fresh x86_64 release installed after calendar grid layout fix","Open the Calendar tab and visually inspect the May 2026 month grid","Seven weekday columns align and each week renders Monday through Sunday without Sunday wrapping to the next row",Pass,"screenshots/calendar-current-settled.png; screenshots/calendar-grid-fixed-clean.png","Pre-fix visual QA showed Sunday wrapping into the next row because percentage day-slot width plus padding overflowed the flex-wrap row. Final fix renders explicit week rows with seven flex columns. Focused log scan had no ReactNativeJS or AndroidRuntime errors",
2026-05-29-calendar-stress,CAL-PERF-001,Calendar,Heavy planned forecast,emulator-5554,release APK,"Release installed with expanded demo data seed","Tap Planned payments Demo; open Calendar; spam next month 8 times; capture current and final month screenshots; scan app logs","Dense 2026 actuals and planned payments populate current/future months without blank grid, stuck updating state, or crash; navigation stays responsive",Pass,"screenshots/calendar-heavy-current.png; screenshots/calendar-heavy-after-spam.png; screenshots/calendar-heavy-spam-timing.csv","Demo seed reported 25 plans and 152 records. Month spam reached Jan 2027; Jun-Dec showed 63-66 planned records included and Jan 2027 showed 16 after year-end daily/weekly stress rules ended; app-process log scan had no fatal/ANR/RN errors",
2026-05-29-predictive-back,BACK-001,Android navigation,System and app-layer back,emulator-5554,release APK,"targetSdk 36 release installed; predictive back manifest opt-in enabled","Cold launch; verify Add route back; open drawer and press back; open Add account/category pickers; test category child back; open Transactions type picker; open Calendar account filter; press root back; scan focused logcat","Route back returns to app home, custom layers dismiss before route/root, hierarchical category goes up one level before dismissing, root back exits to launcher, and release logs have no fatal RN/native startup errors",Pass,"screenshots/window-predictive-add-open.xml; screenshots/window-predictive-add-route-back.xml; screenshots/window-predictive-drawer-open.xml; screenshots/window-predictive-drawer-back.xml; screenshots/window-predictive-add-account-picker.xml; screenshots/window-predictive-add-category-child.xml; screenshots/window-predictive-add-category-up.xml; screenshots/window-predictive-transactions-type-picker.xml; screenshots/window-predictive-calendar-account-filter.xml","Native OneWalletBackLayer callback is enabled only for non-root routes or visible app layers; ExpoFetchModule registration patched into generated release module list; focused log scan had no FATAL EXCEPTION, ReactNativeJS crash, AndroidRuntime app crash, or ExpoFetchModule error",Validate edge-swipe visual preview on a physical Android 16 device when available
2026-05-30-cleanup-major,INV-CLEAN-001,Source cleanup,Inventory and static validation,local,workspace,"Cleanup/refactor pass completed; dependencies installed","Run pnpm inventory, mobile/root typecheck, tests, lint, build, and git diff --check","Inventory reflects Git-visible non-generated source and validation remains green",Pass,"docs/code-inventory.csv; pnpm inventory; pnpm --filter @1wallet/mobile typecheck; pnpm --filter @1wallet/mobile lint; pnpm typecheck; pnpm test; pnpm lint; pnpm build; git diff --check","Final inventory wrote 2288 rows for 297 files after release QA screenshots were added; source/runtime file count remains 262; git diff --check returned line-ending warnings only",
2026-05-30-cleanup-major,ANDROID-CLEAN-001,Android release,Emulator x86_64,emulator-5554,release APK,"Cleaned generated artifacts; x86_64 release build requested","Build release from C:\\w\\apps\\mobile\\android with JDK 17 and RN codegen artifacts, install to emulator, cold launch","Release APK builds, installs, starts, and shows app surface without crash",Pass,"apps/mobile/android/app/build/outputs/apk/release/app-release.apk; screenshots/window-cleanup-release-cleanboot.png; screenshots/window-cleanup-release-launch.png","Expo 56/RN 0.85 Windows pnpm build needed explicit codegen generation for async-storage, gesture-handler, pager-view, safe-area-context, and screens; clean boot avoided stale emulator snapshot/gfxstream wallpaper",
2026-05-30-cleanup-major,ONBOARD-CLEAN-001,Onboarding,Local account first run,emulator-5554,release APK,"Release installed; Supabase env absent so local auth fallback available","Open create account, sign up as qa@onewallet.test, complete profile/main account/permissions, finish setup","Onboarding reaches Home and controls remain reachable",Pass,"screenshots/window-cleanup-release-create-mode.png; screenshots/window-cleanup-release-onboarding-profile.png; screenshots/window-cleanup-release-profile-bottom.png; screenshots/window-cleanup-release-main-account.png; screenshots/window-cleanup-release-main-account-bottom.png; screenshots/window-cleanup-release-permissions.png; screenshots/window-cleanup-release-permissions-bottom.png; screenshots/window-cleanup-release-home-ui.png","Permissions step is functional but visually dense/card-shadow heavy; initial adb text entry of qa%40onewallet.test correctly failed email validation before KEYCODE_AT was used",Polish permissions copy density
2026-05-30-cleanup-major,VISUAL-CLEAN-001,Navigation,Release visual route sweep,emulator-5554,release APK,"Onboarding complete and Home loaded","Navigate through Home bell, Add, tabs, drawer, Settings, Currencies, Imports, and Review using normal UI taps","Main release surfaces render expected content without clipped primary controls or crash",Pass,"screenshots/window-cleanup-release-home-ui.png; screenshots/window-cleanup-release-notifications-ui.png; screenshots/window-cleanup-release-add-ui.png; screenshots/window-cleanup-release-transactions-ui.png; screenshots/window-cleanup-release-calendar-ui.png; screenshots/window-cleanup-release-planner-ui.png; screenshots/window-cleanup-release-accounts-ui.png; screenshots/window-cleanup-release-drawer-ui.png; screenshots/window-cleanup-release-drawer-planning-ui.png; screenshots/window-cleanup-release-settings-ui.png; screenshots/window-cleanup-release-settings-lower-ui.png; screenshots/window-cleanup-release-currencies-ui.png; screenshots/window-cleanup-release-imports-ui.png; screenshots/window-cleanup-release-review-ui.png","Notifications opened as list-only from Home bell; Review empty state is clean; Calendar selector labels ellipsize acceptably; Add keypad sits close to Android gesture bar but remains visible; Settings lower hub is copy-heavy but usable",Deep-link route starts on mounted release activity were unreliable so normal UI navigation was used
2026-05-30-cleanup-major,LOG-CLEAN-001,Runtime logs,Focused release logcat,emulator-5554,release APK,"Visual route sweep complete","Scan last 1200 logcat lines for AndroidRuntime, FATAL, ReactNativeJS, app package, Expo crash signatures","No app fatal or React Native crash signatures appear",Pass,"adb logcat -d -t 1200 filtered","Matched lines were app GC/resource-close and Google Messages RCS/Bugle emulator noise; no AndroidRuntime fatal, ReactNativeJS crash, or app package exception",Keep using screenshot and dumpsys evidence while UIAutomator idle dump is blocked
2026-05-30-cleanup-major,QA-LIMIT-001,QA tooling,UIAutomator and deep links,emulator-5554,release APK,"Release app mounted after clean boot","Try UIAutomator XML dump and route starts from mounted release activity","QA tooling should provide route text dumps",Partial,"adb shell uiautomator dump; adb am start VIEW onewallet:///...","UIAutomator failed with ERROR: could not get idle state; adb deep links returned Status ok but did not reliably move an already-mounted release activity, so evidence uses screenshots, dumpsys focus/surface, and normal UI navigation",Investigate UIAutomator idle issue separately if XML automation is required
2026-05-31-island-planner,NAV-ISLAND-001,Navigation,Bottom island tabs,emulator-5554,debug APK,"Debug preview ledger seeded with onboarding complete","Tap Home Transactions Calendar Planner Accounts on bottom island and capture each screen","All five tab buttons are visible, active state moves, and each tab renders through the island",Pass,"screenshots/impl-tab-home.png; screenshots/impl-tab-transactions.png; screenshots/impl-tab-calendar.png; screenshots/impl-tab-planner.png; screenshots/impl-tab-accounts.png","Restored island shows Home Transactions Calendar Planner Accounts; taps loaded all five tabs",
2026-05-31-island-planner,NAV-SWIPE-001,Navigation,Tab swipe,emulator-5554,debug APK,"Planner tab open on seeded debug ledger","Swipe horizontally from Planner content","Swipe navigation moves to adjacent tab and active island indicator updates",Pass,"screenshots/impl-swipe-from-planner.png; screenshots/impl-swipe-from-planner.xml","Swipe from Planner landed on Calendar with island synced",
2026-05-31-island-planner,PLAN-ICON-001,Planner,Plans and loan rows,emulator-5554,debug APK,"Seeded Home loan account and EMI future rule","Open Planner and scroll to principal EMI and upcoming planned payments","Loan forecast and planned-payment rows use semantic loan repayment icon and tone instead of raw account icon",Pass,"screenshots/impl-tab-planner.png; screenshots/impl-planner-lower-icons.png; screenshots/impl-planner-lower-icons.xml","Principal EMI and upcoming planned payments show the loan repayment glyph",
2026-05-31-island-planner,LOG-ISLAND-001,Runtime logs,Focused debug logcat,emulator-5554,debug APK,"Tab and Planner QA complete","Scan app pid logcat for fatal React Native icon or runtime errors","No fatal crash or JS icon/runtime errors",Pass,"adb logcat -d --pid 4962 filtered","Only dev startup soft exception onWindowFocusChange before context ready plus emulator WebView package warnings; no app fatal",
