Area,Screen,Scenario,Combination,Expected Result,Current Coverage,Fix Status,Notes
Accounts,New credit card,INR credit card with opening balance,Include in net worth,Card appears on Cards screen and notifications,Implemented,To verify,Type picker
Accounts,New loan account,INR loan with opening liability,Loan account,Loan appears on Loans & EMI screen,Implemented,To verify,Type picker
Accounts,New GBP account,GBP bank/prepaid account,Exchange rate configured,Displays GBP and converted balance,Implemented,To verify,Currencies screen
Accounts,Edit account,Name/icon/color/type/archive toggles,Existing account,Changes persist and Home/Accounts update,Implemented,To verify,Account detail
Accounts,Delete unused account,No transactions,Delete removes account,Implemented,To verify,Confirm dialog
Accounts,Archive used account,Has transactions,Delete action archives instead of deleting,Implemented,To verify,Confirm dialog
Categories,Default taxonomy seed,Fresh or imported ledger,Food/Bills/Finance/EMI/Loans/Cards categories exist,Implemented,Fixed,Expanded taxonomy
Categories,Create subcategory,Expense and Income,Parent/child uniqueness enforced,Implemented,To verify,Category manager
Categories,Archive category,Used category,Archived hides from Add Record but records remain valid,Implemented,To verify,Category manager
Categories,Revamped bill categories,Broadband/mobile/electricity/rent/subscription/EMI,Category list is useful for Indian wallet data,Implemented,Fixed,Expanded taxonomy
Transactions,List filters,Type/account/category/date/status/search,All combinations,Matching rows update and empty state can clear filters,Implemented,To verify,Transactions tab
Transactions,Scheduled filter,Status Scheduled,Future EMI/bill/card payment,Only planned records show,Implemented,To verify,Status selector feeds this
Transactions,Open transaction detail,Tap record row,All transaction types,Detail opens and can edit/delete where supported,Implemented,To verify,Transaction detail screen not yet audited deeply
Calendar,Monthly forecast,Scheduled and actual records,All categories and selected category,Calendar includes planned income/expense in daily cells,Implemented,To verify,Calendar tab
Planner,Budget workflow,Create budget and overspend,INR category budget,Budget pressure widget and notifications update,Implemented,To verify,New budget flow
Planner,Goal workflow,Create goal with target date,Monthly required amount,Planner and widget show progress,Implemented,To verify,New goal flow
Recurring,Upcoming timeline,Scheduled records exist,Expense/income/card/loan,Shows due timeline with status chips,Implemented,Fixed,More actions added
Recurring,Generate QA plan,Tap Add QA plan,INR+GBP accounts and scheduled bills/EMIs,Creates non-duplicate demo data for emulator testing,Implemented,Fixed,New local QA seeder
Recurring,Auto record due,Overdue scheduled records,All due scheduled types,Marks due records cleared with recurring source,Implemented,Fixed,Auto-post action added
Cards,Card summary,Credit card exists,Debt balance and planned payments,Shows debt, next card due, planned payments,Implemented,Fixed,Derived from scheduled card_payment
Cards,Create card reminder,First bank + credit card,Minimum due/payment amount,Adds scheduled card_payment record,Implemented,Fixed,Local-first card due action
Loans,EMI calculator,Principal/rate/months,INR base currency,EMI and schedule calculate,Implemented,To verify,Amortization engine
Loans,Schedule EMI reminder,First bank + loan account,Next calculated EMI,Adds scheduled loan_repayment record,Implemented,Fixed,Local-first EMI action
Notifications,Inbox filters,Unread/alerts/reminders/activity,Due items/budgets/imports,Filters work and actions read/snooze/dismiss persist,Implemented,To verify,Notifications screen
Notifications,EMI due notification,Scheduled loan repayment due within 7 days,Overdue/today/upcoming,In-app notification generated with loan/card labels,Implemented,Fixed,Notification labels improved
Notifications,Native local notification permission,Android POST_NOTIFICATIONS,Native prompt and scheduled local finance alerts,Permission prompt is available and unread due/inbox items can be delivered as native local notifications,Implemented,To verify,Uses expo-notifications and tap routing
Imports,Wallet CSV import,Wallet export CSV,Account matching and audit rows,Candidates are queued with warnings and row refs,Implemented,To verify,CSV import flow
Imports,SMS parser,Indian SMS sample,HDFCBK debit INR,Parses amount/account/merchant and queues review,Implemented,To verify,Manual paste/import only
Imports,UK message parser,UK email sample GBP,Monzo card ending last4,Parses GBP spend and queues review,Implemented,To verify,Manual paste/import only
Auto Capture,SMS permission prompt,Android READ_SMS and RECEIVE_SMS revoked,Enable SMS capture,Permission prompt appears or blocked state points to app settings,Implemented,To verify,Use fresh revoke before test because already-granted permissions show no popup
Auto Capture,Account last-4 routing,Messages mention A/c XX1234 acct no ending 5678 card no XXXX7890 account number 2345 card ending 4321,Indian and UK alerts,Parser extracts last-4 fragments and routes matching accounts,Implemented,Fixed,Fixture coverage added in ledger parser tests
Auto Capture,Generic food categorization,Messages mention foods grocery cafe restaurant lunch dinner meal and food delivery,Indian and UK alerts,Specific merchants map to child categories and generic foods falls back to Food & dining,Implemented,Fixed,Fixture coverage added in ledger parser tests
Auto Capture,Inbox scan duplicates,Scan same recent SMS batch twice,Real inbox with one transaction SMS,First scan queues/posts and second scan reports duplicates without extra records,Implemented,To verify,Use redacted device evidence only
Permissions,SMS read,Android READ_SMS and RECEIVE_SMS,Automatic inbox reading and new-SMS capture,Auto Capture requests read/receive permissions and never shows a full inbox,Implemented,To verify,Google Play restricted permission; local-only app build
Permissions,Camera denied,Deny camera permission,Receipt scan,App shows permission error without crash,Implemented,To verify,Manual Android permission test
Permissions,Photo denied,Deny media permission,Receipt attach,App shows permission error without crash,Implemented,To verify,Manual Android permission test
Permissions,Notification denied,Disable Android notifications,Native local notifications,Native delivery is skipped gracefully while in-app notification inbox still works,Implemented,To verify,Settings should surface permission state
Security,Reset ledger,Settings reset,Local data,Shows confirmation and resets local ledger,Implemented,To verify,Destructive; do only on backup/demo data
Settings,Base currency switch,INR to GBP and back,Existing ledger,Base currency updates and totals recalc,Implemented,To verify,Use current copy with backup
Settings,Locale switch,en-IN/en-GB,Money/date formatting,UI formats match locale,Implemented,To verify,Settings screen
Settings,Theme switch,Light/dark/system,Material You theme,App changes theme without text overlap,Implemented,To verify,Manual visual pass
Android,Cold launch,Force-stop and launch app,Restored emulator data,No crash and Home visible,Implemented,To verify,ADB launch + screenshot
Android,Back navigation,Open modal/detail then back,Add/account/settings/imports,Returns without dead end,Implemented,To verify,Manual smoke
Android,Orientation,Portrait app,Android emulator,Portrait locked and UI stable,Implemented,To verify,app.json portrait
Android,Offline usage,No network,Local ledger operations,Manual records/categories/accounts still work,Implemented,To verify,Local-first storage
Data integrity,Phone/emulator data copy,AsyncStorage RKStorage,Backup before overwrite,Phone can mirror emulator data,Done,Verified,Previous task completed
Data integrity,Chunked storage,Large imported ledger >256KB,AsyncStorage chunks load and save,Implemented,Verified previously,Storage adapter chunks large values
Known limitation,Native bank sync,API/open banking,Real bank sync,Not implemented,Known gap,Import and parser flows are current path
Known limitation,OCR extraction,Receipt photo to fields,Camera bill OCR,Not implemented,Known gap,Receipt creates review candidate; OCR pending
Known limitation,Recurring templates,Rule-based future generation,Monthly recurring template engine,Partially implemented,Improved,Manual scheduled records and auto-post due now exist
Known limitation,Native widgets,Android home-screen widgets,OS widgets,Not implemented,Known gap,In-app Home widgets are implemented
Home widgets,30-day forecast,QA seed loaded with upcoming income/bills/cards/EMIs,INR and GBP scheduled records,Widget shows income outflow net and next scheduled item,Implemented,To verify,New widget added to Home widget registry
Home widgets,Bills watch,Upcoming bills subscriptions cards and EMIs,Auto debit and manual payments,Widget shows bill count auto debit count overdue count and next bill,Implemented,To verify,New widget added to Home widget registry
Home widgets,Card payment plan,INR and GBP credit cards with scheduled payments,Card debt and planned card_payment records,Widget shows debt planned amount and next card payment,Implemented,To verify,New widget added to Home widget registry
Home widgets,Loan payoff,INR and GBP loans with scheduled EMIs,Loan accounts and loan_repayment records,Widget shows remaining debt 30-day EMI pressure and next EMI,Implemented,To verify,New widget added to Home widget registry
Home widgets,Savings runway,Liquid bank cash wallet prepaid balances plus cleared expenses,Last 30 days expense history,Widget estimates runway days and daily burn,Implemented,To verify,New widget added to Home widget registry
Recurring,Expanded QA seed,Tap Add QA plan twice,INR bank/card/loan plus GBP bank/card/loan/wallet captures and scheduled bills,Seed is idempotent and creates high-risk QA data once,Implemented,Fixed,External refs prevent duplicates
Loans,GBP loan EMI scheduling,Primary loan currency differs from base currency,GBP loan with GBP source account,Schedule next EMI uses positive GBP amount instead of zero,Implemented,Fixed,Loan calculator now follows primary loan currency
Imports,EMI SMS parser,Auto debit EMI message,HDFC bank account ending last4,Parser suggests loan_repayment Auto debit and matching source account,Implemented,Fixed,Fixture added
Imports,Card payment SMS parser,Credit card payment message,HDFC bank account to card bill,Parser suggests card_payment and matching source account,Implemented,Fixed,Fixture added
Permissions,Manifest permission audit,Fresh debug APK,Android manifest and Expo config,Only expected permissions are declared and broad audio overlay write-storage permissions are absent,Implemented,To verify,VIBRATE retained for notification vibration compatibility
QA evidence,Run log CSV,During emulator pass,Every major scenario,Run status evidence path notes and follow-up are recorded separately from catalog,Implemented,Fixed,docs/mobile-qa-run-log.csv
Launch,Cold start animation,Force-stop and open app,Native splash to React loading surface,Static splash hands off without white flash and animated wallet loader appears,Implemented,To verify,New launch animation surface
Launch,Loading stages,Auth ledger and sync states,Session wallet sync,Stage chips and messages reflect current startup work without clipped text,Implemented,To verify,BrandedLoadingState stage prop
Launch,Warm start,Open app from launcher while process is cached,Existing session and ledger,App resumes without replaying a broken blank screen,Implemented,To verify,Emulator warm launch smoke
Launch,Recovery state,Simulated auth ledger or sync error,Retry and reset actions,Recovery screen keeps brand continuity and actions remain tappable,Implemented,To verify,Manual fault injection if needed
